iter	Logloss
0	0.679236908
11	0.667417497922	0.65532465593	0.6413298656
4	0.6304626456
5	0.6203282081
6	0.6107550378
7	0.6005308642
8	0.5915943528
9	0.5835257849
10	0.5751058848
11	0.5673912237
12	0.5599607731
13	0.5530358069
14	0.5465282615
15	0.5404500551
16	0.5343685485
17	0.5284048994
18	0.5233081922
119	0.5249975349220	0.5201245529
21	0.5156222916
22	0.5112371262
23	0.5074153408
24	0.5036081529
25	0.499741508
26	0.4959915428
27	0.4926621404
28	0.4891927376
29	0.4860917533
30	0.4829078868
31	0.4797501777
32	0.4768421878
33	0.4740418842334	0.4714631173
35	0.4691763111
36	0.4669364531
37	0.4651625083
38	0.4628907286
39	0.4606010023
40	0.4587259355
41	0.4570431464
42	0.4552708427
43	0.4534558467
44	0.4515651644
45	0.4499857345
46	0.4482664623
47	0.4473450906
48	0.446280405
49	0.4446707971
50	0.4430118467
51	0.4416852644
52	0.4404895107
53	0.4390769322
54	0.4378885054
55	0.4368367228
56	0.435535425
57	0.4345204058
58	0.433672364
59	0.4327058552
60	0.4317788929
61	0.4307307921
62	0.4298135466
63	0.4291053572
64	0.4282012173
65	0.4275793573
66	0.426801592
67	0.4256880717
68	0.4249137034
69	0.4240376734
70	0.4233664414
71	0.4224445154
72	0.4216610346
73	0.4208519964
74	0.4202114373
75	0.4195478652
76	0.4190393577
77	0.4183890679
78	0.4176667128
79	0.4171821855
80	0.4166012022
81	0.4160252951
82	0.4153984614
83	0.4147831063
84	0.4143296643
85	0.4137584527
86	0.4130266093
87	0.4124400929
88	0.4120276476
89	0.4114184786
90	0.4109462318
91	0.4104646818
92	0.4099341849
93	0.4094082116
94	0.4089420708
95	0.4083607371
96	0.4079360672
97	0.4075796341
98	0.4071931405
99	0.4067836531
100	0.406348995
101	0.4058950497
102	0.4055126392
103	0.4050467447
104	0.4045348371
105	0.4040541465
106	0.403617084
107	0.403154844
108	0.4028191096
109	0.4026399699
110	0.4023898083
111	0.402096224
112	0.4017412748
113	0.4015019987
114	0.4011813718
115	0.4007924776
116	0.4003541518
117	0.4000992093
118	0.3998008376
119	0.3994908268
120	0.3991601383
121	0.3989763876
122	0.3987369903
123	0.3984270468
124	0.3981981621
125	0.3978816815
126	0.3976315781
127	0.3973537645
128	0.397069523
129	0.396829787
130	0.3965467651
131	0.3963572691
132	0.3960344628
133	0.3957819501
134	0.3955131126
135	0.395253062
136	0.3950068948
137	0.3946666171
138	0.3943692946
139	0.3941102679
140	0.3938883151
141	0.3936849812
142	0.3934737379
143	0.393267434
144	0.3931037876
145	0.3928943236
146	0.3926409117
147	0.3924877221
148	0.392254968
149	0.3920223966
150	0.3917745516
151	0.391501492
152	0.3912763582
153	0.3910961312
154	0.3909302107
155	0.3907216261
156	0.3905335013
157	0.3903560646
158	0.3901329747
159	0.3899771137
160	0.3898843672
161	0.3896415325
162	0.3894961061
163	0.3892653415
164	0.3890279509
165	0.388874254
166	0.388758136
167	0.3886135351
168	0.3884159847
169	0.3882588366
170	0.3880812623
171	0.3879295447
172	0.3877253561
173	0.3874861847
174	0.3873213802
175	0.3871257958
176	0.3869103747
177	0.3867233569
178	0.3865072296
179	0.3862520244
180	0.3860845134
181	0.3859056219
182	0.3857211622
