iter	Passed	Remaining
0	5	5683
1	10	5123
2	16	5502
3	21	5463
4	26	5174
5	29	4940
6	37	5291
7	42	5278
8	50	5570
9	56	5633
10	61	5514
11	68	5659
12	74	5644
13	87	6166
14	94	6213
15	111	6878
16	126	7293
17	135	7378118	141	729119	151	7415
20	169	7895
21	182	8106
22	207	8817
23	215	8774
24	230	8989
25	246	9241
26	262	9456
27	269	9348
28	277	9301
29	286	9263
30	300	9387
31	308	9338
32	317	9294
33	326	9274
34	346	9561
35	373	10006
36	385	10035
37	420	10643
38	448	11045
39	463	11131
40	478	11201
41	486	11107
42	500	11148
43	517	11251
44	535	11357
45	548	11366
46	578	11725
47	581	11526
48	585	11367
49	593	11283
50	600	11177
51	607	11075
52	613	10958
53	620	10874
54	631	10846
55	649	10948
56	676	11188
57	686	11156
58	706	11271
59	731	11465
60	738	11360
61	745	11271
62	751	11172
63	756	11070
64	769	11064
65	785	11121
66	798	11123
67	805	11034
68	813	10974
69	819	10884
70	825	10796
71	836	10785
72	851	10817
73	857	10732
74	878	10840
75	889	10817
76	901	10806
77	911	10772
78	923	10762
79	936	10773
80	951	10792
81	968	10839
82	994	10985
83	1015	11074
84	1029	11079
85	1035	11000
86	1045	10975
87	1075	11143
88	1080	11060
89	1086	10983
90	1098	10973
91	1104	10903
92	1112	10845
93	1125	10850
94	1132	10786
95	1140	10739
96	1145	10667
97	1151	10599
98	1174	10688
99	1192	10736
100	1199	10678
101	1227	10802
102	1232	10735
103	1243	10710
104	1250	10658
105	1265	10671
106	1279	10679
107	1295	10702
108	1301	10641
109	1309	10597
110	1330	10654
111	1356	10752
112	1372	10774
113	1381	10738
114	1408	10839
115	1415	10785
116	1429	10787
117	1444	10794
118	1450	10735
119	1459	10699
120	1466	10650
121	1488	10711
122	1509	10763
123	1546	10925
124	1565	10961
125	1598	11090
126	1607	11047
127	1612	10987
128	1620	10938
129	1628	10896
130	1663	11033
131	1677	11030
132	1691	11026
133	1785	11540
134	1792	11485
135	1804	11462
136	1818	11457
137	1830	11435
138	1874	11610
139	1912	11747
140	1952	11897
141	1979	11960
142	1985	11899
143	2039	12125
144	2049	12085
145	2055	12021
146	2061	11963
147	2067	11902
148	2074	11848
149	2112	11968
150	2121	11927
151	2163	12069
152	2193	12142
153	2215	12172
154	2261	12329
155	2268	12270
156	2312	12414
157	2345	12499
158	2351	12437
159	2362	12404
160	2414	12580
161	2434	12591
162	2509	12886
163	2607	13293
164	2613	13224
165	2624	13183
166	2629	13116
167	2638	13067
168	2658	13073
169	2672	13049
170	2694	13064
171	2710	13050
172	2727	13040
173	2745	13032
174	2761	13020
175	2810	13159
176	2829	13156
177	2847	13151
178	2854	13092
179	2864	13050
180	2880	13032
181	2891	12995
182	2903	12964
183	2917	12937
184	2927	12897
185	2939	12863
186	2954	12844
187	2965	12807
188	2996	12859
189	3020	12876
190	3053	12932
191	3088	12995
192	3107	12995
193	3119	12959
194	3125	12900
195	3164	12979
196	3204	13061
197	3217	13033
198	3240	13042
199	3250	13001
200	3267	12989
201	3281	12965
202	3286	12905
203	3298	12872
204	3306	12821
205	3319	12795
206	3330	12759
207	3337	12708
208	3343	12654
209	3348	12598
210	3353	12541
211	3360	12490
212	3367	12444
213	3376	12402
214	3382	12351
215	3386	12293
216	3394	12247
217	3402	12205
218	3409	12160
219	3414	12105
220	3418	12050
221	3426	12009
222	3431	11955
223	3435	11902
224	3442	11856
225	3446	11803
226	3450	11750
227	3458	11711
228	3463	11661
229	3468	11612
230	3477	11575
231	3483	11531
232	3491	11493
233	3497	11448
234	3501	11400
235	3508	11356
236	3512	11307
237	3517	11262
238	3525	11224
239	3530	11178
240	3534	11132
241	3541	11091
242	3545	11043
243	3549	10996
244	3556	10959
245	3560	10913
246	3565	10869
247	3571	10829
248	3575	10783
249	3578	10736
250	3582	10691
251	3591	10661
252	3597	10622
253	3602	10579
254	3608	10541
255	3613	10502
256	3618	10461
257	3624	10425
258	3630	10385
259	3642	10367
260	3647	10328
261	3656	10298
262	3661	10261
263	3666	10221
264	3673	10189
265	3678	10149
266	3683	10112
267	3692	10085
268	3699	10052
269	3709	10030
270	3715	9994
271	3724	9969
272	3730	9933
273	3740	9910
274	3747	9880
275	3757	9856
276	3763	9823
277	3772	9797
278	3776	9758
279	3780	9720
280	3788	9693
281	3793	9658
282	3802	9634
283	3810	9606
284	3822	9590
285	3828	9557
286	3838	9537
287	3843	9503
288	3854	9484
289	3860	9452
290	3871	9432
291	3876	9400
292	3888	9382
293	3894	9352
294	3907	9339
295	3920	9324
296	3927	9297
297	3938	9277
298	3942	9244
299	3955	9230
300	3959	9195
301	3971	9178
302	3976	9148
303	3989	9133
304	3993	9100
305	4007	9089
306	4020	9075
307	4025	9043
308	4037	9029
309	4051	9017
310	4055	8985
311	4068	8970
312	4072	8938
313	4086	8927
314	4092	8898
315	4102	8879
316	4107	8850
317	4117	8830
318	4124	8804
319	4136	8790
320	4148	8774
321	4155	8748
322331	4160	83323332	4167	83324333	4179	83325334	4197	8332
335	4209	8318
336	4215	8293
337	4226	82329338	4233	82330339	4245	82331340	4260	82332341	4265	82333342	4278	81334343	4287	81335344	4292	81336345	4297	81337346	4308	81338347	4312	80339348	4323	80340349	4328	80341	4335	8340
342351	4346	80343352	4357	79344353	4361	79345354	4372	79346355	4377	79347356	4390	79348357	4397	78349	4406	8183
350	4420	8172
351	4435	8164
352	4439	8137
353	4454	8128
354	4465	8113
355	4472	8090
356	4484	8077
357	4490	8052
358	4500	8036
359	4505	8010
360	4515	7992
361370	4543	7702
371	4555	76363372	4560	76364373	4571	76365	4570	7917
366	4588	7914
367	4593	7889
368	4602	7869
369	4608	7847
370	4619	7831
371	4624	7807
372	4637	7795
373	4643	7771
374	4652	7754
375	4657	7729
376	4673	7722
377	4688	7714
378	4702	7705
379	4709	7683
380389	4741	74381390	4755	7406
391	4767	73383392	4773	73384393	4784	73385394	4789	73386395	4800	73387396	4806	73388	4803	7545
389	4817	7535
390	4825	7516
391	4837	7503
392	4853	7495
393	4868	7488
394	4879	7473
395	4889	7457
396	4907	7453
397	4920	7442
398	4932	7429
399	4938	7408
400	4951	7396
401	4957	7373
402	4963	7352
403	4973	7337
404	4978	7313
405	4989	7300
406	4998	7283
407	5020	7285
408	5032	7272
409	5043	7257
410	5049	7236
411	5061	7224
412	5073	7210
413	5080	7191
414	5090	7175
415	5097	7156
416	5110	7144
417	5123	7134
418	5130	7113
419	5141	7100
420	5147	7080
421	5159	7066
422	5171	7054
423	5177	7033
424	5186	7016
425	5192	6995
426	5196	6972
427	5206	6957
428	5211	6936
429	5223	6924
430	5228	6902
431	5241	6890
432	5246	6870
433	5257	6856
434	5268	6843
435	5275	6824
436	5286	6811
437	5293	6792
438	5305	6780
439	5318	6768
440	5324	6749
441	5336	6737
442	5341	6715
443	5352	6702
444	5356	6680
445	5364	6663
446	5370	6643
447	5374	6621
448	5379	6601
449	5383	6579
450	5388	6559
451	5396	6542
452	5400	6521
453	5406	6502
454	5416	6487
455	5421	6467
456	5428	6449
457	5434	6430
458	5438	6409
459	5444	6391
460	5449	6370
461	5453	6350
462	5459	6332
463	5465	6313
464	5470	6293
465	5478	6277
466	5483	6258
467	5487	6238
468	5494	6221
469	5499	6201
470	5502	6180
471	5511	6165
472	5515	6145
473	5520	6125
474	5525	6107
475	5530	6087
476	5534	6068
477	5541	6051
478	5546	6032
479488	5572	58480489	5580	58481490	5586	57482491	5591	57483492	5597	57484493	5601	57485494	5604	57486495	5608	56487	5591	5866
488	5596	5847
489	5601	5830
490	5605	5811
491	5608	5791
492	5612	5771
493	5617	5753
494	5620	5733
495	5623	5714
496	5626	5694
497	5631	5677
498	5635	5658
499	5639	5639
500	5643	5620
501	5647	5602
502	5651	5584
503	5655	5565
504	5658	5546
505	5661	5527
506	5665	5509
507	5669	5491
508	5673	5472
509	5676	5453
510	5681	5436
511	5686	5419
512	5690	5402
513	5697	5387
514	5703	5370
515	5708	5354
516	5716	5340
517	5721	5323
518	5726	5307
519	5732	5291
520	5738	5275
